Date,Open,High,Low,Close,Volume,Adj Close,Wildfire,Hurricane,Flood,Blizzard,Snowstorm,Tornado,Covid,Season,Inflation Rate
2015-10-14,17079.08008,17111.38086,16887.66992,16924.75,120110000,16924.75,No,No,No,No,No,No,No,Fall,0.2
2015-10-13,17113.55078,17172.81055,17034.44922,17081.89063,99400000,17081.89063,No,No,No,No,No,No,No,Fall,0.2
2015-10-12,17082.28906,17139.21094,17064.58008,17131.85938,72500000,17131.85938,No,No,No,No,No,No,No,Fall,0.2
2015-10-09,17054.68945,17110.88086,17027.23047,17084.49023,103730000,17084.49023,No,No,No,No,No,No,No,Fall,0.2
2015-10-08,16904.16992,17081.2793,16859.33984,17050.75,100730000,17050.75,No,No,No,No,No,No,No,Fall,0.2
2015-10-07,16805.41992,16963.30078,16765,16912.28906,115690000,16912.28906,No,No,Yes,No,No,No,No,Fall,0.2
2015-10-06,16774.01953,16865.08984,16746.0293,16790.18945,120010000,16790.18945,No,No,Yes,No,No,No,No,Fall,0.2
2015-10-05,16502.09961,16798.36914,16502.09961,16776.42969,127660000,16776.42969,No,No,Yes,No,No,No,No,Fall,0.2
2015-10-02,16258.25,16472.76953,16013.66016,16472.36914,136870000,16472.36914,No,No,Yes,No,No,No,No,Fall,0.2
2015-10-01,16278.62012,16348.87012,16073.82031,16272.00977,111420000,16272.00977,No,No,Yes,No,No,No,No,Fall,0.2
2015-09-30,16057.08008,16297.59961,16057.08008,16284.7002,145740000,16284.7002,No,No,Yes,No,No,No,No,Fall,0
2015-09-29,16001.75977,16118.88965,15942.37012,16049.12988,121160000,16049.12988,No,No,Yes,No,No,No,No,Fall,0
2015-09-28,16313.25977,16313.25977,15981.84961,16001.88965,139930000,16001.88965,No,No,No,No,No,No,No,Fall,0
2015-09-25,16205.07031,16465.23047,16205.07031,16314.66992,130790000,16314.66992,No,No,No,No,No,No,No,Fall,0
2015-09-24,16257.11035,16257.11035,16016.36035,16201.32031,122220000,16201.32031,No,No,No,No,No,No,No,Fall,0
2015-09-23,16332.80957,16355.29004,16211.98047,16279.88965,86030000,16279.88965,No,No,No,No,No,No,No,Fall,0
2015-09-22,16477.44922,16477.44922,16221.73047,16330.46973,119010000,16330.46973,No,No,No,No,No,No,No,Fall,0
2015-09-21,16406.09961,16578.59961,16391.88086,16510.18945,90730000,16510.18945,No,No,No,No,No,No,No,Fall,0
2015-09-18,16674.74023,16674.74023,16343.75977,16384.58008,341690000,16384.58008,Yes,No,No,No,No,No,No,Fall,0
2015-09-17,16738.08008,16933.42969,16639.92969,16674.74023,129600000,16674.74023,Yes,No,No,No,No,No,No,Fall,0
2015-09-16,16599.50977,16755.98047,16593.90039,16739.94922,99620000,16739.94922,Yes,No,No,No,No,No,No,Fall,0
2015-09-15,16382.58008,16644.10938,16382.58008,16599.84961,93050000,16599.84961,Yes,No,No,No,No,No,No,Fall,0
2015-09-14,16450.85938,16450.85938,16330.87012,16370.95996,92660000,16370.95996,Yes,No,Yes,No,No,No,No,Fall,0
2015-09-11,16330.40039,16434.75977,16244.65039,16433.08984,104630000,16433.08984,Yes,No,Yes,No,No,No,No,Fall,0
2015-09-10,16252.57031,16441.93945,16212.08008,16330.40039,122690000,16330.40039,Yes,No,Yes,No,No,No,No,Fall,0
